"model_name","parent_class_id","parent_id","parent_name","collection_id","collection_name","category_id","category_name","category_rank","child_id","child_name","property_id","property_name","band_id","timeslice_name","sample_name","_date","period_id","value","unit_id","unit_name","interval_id","phase_id","phase_name","period_value"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","7.94564555556","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","203.36644152481","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","203.36644152481","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","203.36644152481","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","20.9905936992857","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","54.1084808218581","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","429.9268101603","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","282.5818220533","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","76","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","2","101_3","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","12.768","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","7.92108888889","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","202.85867675145","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","202.85867675145","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","202.85867675145","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","20.9905936992262","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","56.1142442585513","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","444.48591670487","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","282.58182204034","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","76","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","3","101_4","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","12.768","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","7.95670722196","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","203.61418103819","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","203.61418103819","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","203.61418103819","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","20.9964891982738","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","55.960448624334","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","445.26090571336","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","282.59646219145","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","76","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","4","102_3","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","12.768","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","2.19299222222","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","54.3209499303","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","54.3209499303","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","6.1682424","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","60.4891923303","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","21.9291571316071","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","23.8790284134836","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","52.36652358494","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","-1.93846646661","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","76","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","5","102_4","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","3.192","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","23.29471984738","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.29563501479","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.29563501479","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.29563501479","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","18.5032177744643","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","48.4392416935875","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","1128.37856487165","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","657.2674371074","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","155","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","6","115_3","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","26.04","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","23.29216666666","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.25446289389","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.25446289389","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.25446289389","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","18.5042468068452","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","48.475967698956","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","1129.11031897171","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","657.85585607781","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","155","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","7","116_1","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","26.04","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","23.31863333334","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.73685200507","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.73685200507","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","471.73685200507","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","18.5032177744643","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","48.5531167589851","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","1132.19232689362","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","660.45547488854","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","176","Installed Capacity","1","All Periods",,"31/12/2024 6:30:00 PM","1","155","1","MW","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","8","123_2","191","Available Energy","1","All Periods",,"31/12/2024 6:30:00 PM","1","26.04","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","1","Generation","1","All Periods",,"31/12/2024 6:30:00 PM","1","49.91872555556","2","GWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","77","Fuel Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","996.84194545493","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","78","Fuel Transport Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","81","VO&M Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","87","Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","996.84194545493","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","88","Start & Shutdown Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","91","Emissions Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","0","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","93","Total Generation Cost","1","All Periods",,"31/12/2024 6:30:00 PM","1","996.84194545493","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","104","SRMC","1","All Periods",,"31/12/2024 6:30:00 PM","1","19.3800110692857","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","117","Price Received","1","All Periods",,"31/12/2024 6:30:00 PM","1","50.176728903501","33","$/MWh","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","129","Pool Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","2504.7583594096","34","$000","1","4","ST Schedule","1"
"Q2 Week1 DA","1","1","System","1","Generator","68","Coal/Steam","1","9","123_3","133","Net Revenue","1","All Periods",,"31/12/2024 6:30:00 PM","1","1507.91954924727","34","$000","1","4","ST Schedule","1"
